2024-02-01 16:41:01.859 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 16:41:05.253 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 16:41:07.698 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 16:41:20.260 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 17:49:54.013 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 17:49:58.680 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 17:50:20.477 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 17:50:22.454 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 17:57:23.000 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 17:58:15.864 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:01:19.599 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:01:24.281 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:01:37.166 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:01:42.093 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:04:50.781 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:05:41.917 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:08:09.480 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:13:39.117 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 18:13:41.419 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 18:13:42.879 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 18:18:08.052 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:18:30.565 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:18:38.976 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/loquei/models/stock_move.py
2024-02-01 18:19:14.110 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:19:25.879 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:19:40.740 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:19:45.123 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:19:49.213 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:19:55.359 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:19:59.961 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:21:01.991 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:21:09.759 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:21:29.274 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:23:47.743 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:23:49.952 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:23:53.156 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:24:02.884 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:24:05.159 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:24:20.225 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:24:23.967 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:36:44.180 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:47:08.308 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:47:10.726 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:47:25.108 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:47:27.271 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:48:06.146 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:48:52.023 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:48:54.966 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:49:04.555 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:49:08.099 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:49:09.320 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:49:13.333 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:49:15.415 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:49:43.014 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:56:42.449 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:57:50.377 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:57:57.442 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:58:18.417 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:58:21.284 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:58:25.957 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:58:28.953 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 18:58:36.668 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 19:18:02.894 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 19:23:14.977 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 19:23:18.537 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-01 19:42:27.953 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:42:54.564 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:47:43.351 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:47:56.744 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:48:10.294 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:48:13.814 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:48:15.753 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:48:18.724 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
