2024-02-01 10:55:11.675 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:11.691 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:11.708 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:11.722 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:11.739 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:11.755 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:11.771 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:11.799 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:11.862 [info] > git rev-parse --show-toplevel [7ms]
2024-02-01 10:55:11.891 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:11.937 [info] > git rev-parse --show-toplevel [10ms]
2024-02-01 10:55:11.997 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:12.056 [info] > git rev-parse --show-toplevel [19ms]
2024-02-01 10:55:12.136 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:12.188 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:12.285 [info] > git rev-parse --show-toplevel [14ms]
2024-02-01 10:55:12.339 [info] > git rev-parse --show-toplevel [14ms]
2024-02-01 10:55:12.399 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:12.456 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:12.546 [info] > git rev-parse --show-toplevel [52ms]
2024-02-01 10:55:12.605 [info] > git rev-parse --show-toplevel [11ms]
2024-02-01 10:55:12.640 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:12.695 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:12.775 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:12.812 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:12.846 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:12.875 [info] > git rev-parse --show-toplevel [14ms]
2024-02-01 10:55:12.926 [info] > git rev-parse --show-toplevel [11ms]
2024-02-01 10:55:12.968 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:13.012 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:13.051 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:13.121 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:13.164 [info] > git rev-parse --show-toplevel [17ms]
2024-02-01 10:55:13.216 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:13.286 [info] > git rev-parse --show-toplevel [19ms]
2024-02-01 10:55:13.334 [info] > git rev-parse --show-toplevel [15ms]
2024-02-01 10:55:13.373 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:13.419 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:13.467 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:13.515 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:13.554 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:13.600 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:13.626 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:13.693 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:13.757 [info] > git rev-parse --show-toplevel [27ms]
2024-02-01 10:55:13.816 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:13.858 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:13.917 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:13.936 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:13.981 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:14.043 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:14.119 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:14.144 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:14.171 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:14.200 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:14.249 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:14.288 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:14.321 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:14.358 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:14.416 [info] > git rev-parse --show-toplevel [32ms]
2024-02-01 10:55:14.434 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:14.484 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:14.509 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:14.524 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:14.548 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:14.570 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:14.592 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:14.635 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:14.681 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:14.735 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:14.804 [info] > git rev-parse --show-toplevel [12ms]
2024-02-01 10:55:14.849 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:14.879 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:14.920 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:14.944 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:14.987 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:15.015 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:15.053 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:15.084 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:15.119 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:15.148 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:15.180 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:15.247 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:15.334 [info] > git rev-parse --show-toplevel [18ms]
2024-02-01 10:55:15.380 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:15.427 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:15.467 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:15.608 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:15.661 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:15.688 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:15.872 [info] > git rev-parse --show-toplevel [98ms]
2024-02-01 10:55:15.892 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:15.939 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:15.996 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:16.050 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:16.091 [info] > git rev-parse --show-toplevel [10ms]
2024-02-01 10:55:16.128 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:16.187 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:16.221 [info] > git rev-parse --show-toplevel [7ms]
2024-02-01 10:55:16.240 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:16.254 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:16.284 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:16.324 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:16.346 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:16.379 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:16.399 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:16.418 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:16.481 [info] > git rev-parse --show-toplevel [17ms]
2024-02-01 10:55:16.547 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:16.581 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:16.602 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:16.618 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:16.653 [info] > git rev-parse --show-toplevel [20ms]
2024-02-01 10:55:16.710 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:16.743 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:16.759 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:16.775 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:16.787 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:16.909 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:16.949 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:17.025 [info] > git rev-parse --show-toplevel [7ms]
2024-02-01 10:55:17.077 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:17.106 [info] > git rev-parse --show-toplevel [3ms]
